,AAPL,AMZN,ATT,AUD,BOND,EUR,GE,GOLD,INTC,SILVER,SPY
2000-03-08,1.089286,3.18125,31.438822,0.6095,802.0893185,0.961,334.134613,288.13,57.46875,5.09,136.875
2000-03-09,1.091518,3.440625,31.391617,0.6148,802.5466552,0.9669,330.769226,291.2,59.1875,5.1,140.875
2000-03-10,1.122768,3.34375,31.722054,0.6151,800.7028127,0.9637,337.660248,289.0,60.09375,5.06,140.125
2000-03-13,1.083147,3.265625,32.996601,0.6163,801.3503253,0.9642,331.891022,290.7,61.0625,5.07,138.59375
2000-03-14,1.020089,3.28125,31.816465,0.6148,802.1117078,0.9686,325.641022,288.88,58.9375,5.095,136.625
2000-03-15,1.037946,3.1875,32.099697,0.6135,802.7588067,0.9669,342.467957,288.85,60.09375,5.12,139.8125
2000-03-16,1.085379,3.3125,34.082325,0.6113,803.7668223,0.9696,356.410248,286.5,62.53125,5.09,146.34375
2000-03-17,1.116071,3.240625,34.554382,0.6067,805.6391915,0.9721,358.653839,284.6,64.9375,5.095,146.9375
2000-03-20,1.098214,3.209375,33.563065,0.6077,805.9719587,0.9728,361.378204,286.88,67.5,5.03,146.1875
2000-03-21,1.204799,3.61875,34.176739,0.6099,806.409105,0.9615,385.89743,289.63,69.21875,5.115,149.1875
2000-03-22,1.287388,3.534375,32.713367,0.6044,806.380726,0.961,386.858978,287.88,72.03125,5.12,150.09375
2000-03-23,1.261719,3.384375,32.902191,0.6058,807.5013947,0.9715,410.256409,286.28,71.3125,5.13,152.65625
2000-03-24,1.238281,3.634375,32.477341,0.6086,804.1021163,0.9779,407.85257,285.0,69.53125,5.1,153.5625
2000-03-27,1.246094,3.65625,32.618958,0.6128,803.7892173,0.9672,404.967957,280.3,71.34375,5.085,151.9375
2000-03-28,1.242188,3.50625,32.099697,0.6164,803.7136984,0.9605,400.0,279.4,67.84375,5.07,151.0625
2000-03-29,1.213728,3.3125,31.910875,0.6105,803.7520763,0.9514,417.94873,276.4,65.9375,4.95,151.21875
2000-03-30,1.122768,3.325,31.438822,0.6134,807.0169008,0.9613,407.05127,276.75,63.5,4.95,148.6875
2000-03-31,1.212612,3.35,31.816465,0.6071,808.5444306,0.9555,399.038452,279.08,65.96875,5.01,150.375
2000-04-03,1.19029,3.178125,33.799095,0.6086,810.0051044,0.9553,412.820526,278.2,65.3125,5.03,151.25
2000-04-04,1.136719,3.196875,34.743202,0.6047,814.9560535,0.9596,394.871796,284.45,66.375,5.14,150.125
2000-04-05,1.164063,3.109375,34.979229,0.6061,813.5890652,0.9625,393.108978,281.5,64.9375,5.155,149.1875
2000-04-06,1.117746,3.2125,35.203457,0.6014,812.5353832,0.9584,402.243591,280.5,64.90625,5.115,150.484375
2000-04-07,1.176339,3.378125,35.026436,0.5986,814.4686839,0.9553,407.211548,280.0,68.40625,5.085,151.4375
2000-04-10,1.116071,3.16875,34.932022,0.5953,815.9558505,0.9627,408.814117,282.0,65.5625,5.13,150.84375
2000-04-11,1.066406,3.16875,35.687309,0.5958,812.6462505,0.9592,414.423065,281.8,65.375,5.135,150.40625
2000-04-12,0.975446,2.81875,35.498489,0.5981,810.11473,0.959,401.923065,282.05,60.9375,5.115,146.28125
2000-04-13,1.016183,2.4,35.498489,0.5983,811.8766437,0.9524,385.89743,281.6,60.5625,5.15,144.25
2000-04-14,0.998884,2.34375,32.194111,0.5976,813.3443219,0.9622,373.717957,282.6,55.25,5.11,136.0
2000-04-17,1.106027,2.353125,31.627644,0.5909,810.3116276,0.9527,389.743591,281.38,61.5,5.105,140.75
2000-04-18,1.132813,2.746875,31.344412,0.5948,809.6857184,0.9453,401.282043,281.3,64.5,5.11,144.46875
2000-04-19,1.081473,2.671875,31.674849,0.5957,811.9770029,0.9402,398.717957,280.7,59.53125,5.1,143.125
2000-04-20,1.061384,2.61875,31.108383,0.5924,812.1559147,0.9374,406.410248,280.0,57.6875,4.97,143.8125
2000-04-24,1.075893,2.490625,31.910875,0.5946,811.9465631,0.938,415.544861,279.8,58.0625,4.935,142.25
2000-04-25,1.145647,2.621875,33.940708,0.5935,808.0830404,0.9208,425.641022,278.4,62.5,5.005,148.15625
2000-04-26,1.083147,2.675,33.232628,0.5882,807.3820826,0.9235,418.589752,275.88,60.40625,4.94,146.484375
2000-04-27,1.131696,2.64375,32.666164,0.5872,803.6149049,0.9099,414.10257,277.05,62.65625,4.95,146.0
2000-04-28,1.107701,2.759375,33.091011,0.5839,804.0692133,0.9119,403.205139,273.55,63.40625,4.97,145.09375
2000-05-01,1.109933,2.996875,33.704681,0.5827,803.4258399,0.9158,408.653839,273.35,63.5625,5.02,147.0625
2000-05-02,1.052455,2.80625,32.005287,0.5845,801.8460729,0.91,412.980774,274.95,60.59375,5.025,144.125
2000-05-03,1.027344,2.70625,31.674849,0.5923,798.2236225,0.8948,400.160248,278.25,59.53125,5.015,140.75
2000-05-04,0.988281,2.753125,31.013973,0.5912,794.583264,0.8895,394.871796,279.95,59.78125,5.1,141.8125
2000-05-05,1.010045,2.925,32.477341,0.5965,792.2394153,0.897,405.128204,278.95,61.6875,4.995,143.53125
2000-05-08,0.983259,2.800781,32.382931,0.5813,790.5864169,0.8977,403.365387,276.73,58.8125,5.01,142.453125
2000-05-09,0.941406,2.8125,31.958082,0.5856,791.9779021,0.9075,400.961548,277.25,58.46875,5.025,141.3125
2000-05-10,0.886719,2.665625,34.082325,0.5807,793.8037791,0.9068,389.423065,277.75,53.03125,5.035,138.125
2000-05-11,0.917969,2.74375,34.412766,0.581,794.2303992,0.9016,391.826935,275.95,57.78125,5.0,141.28125
2000-05-12,0.960938,2.6875,33.869904,0.5811,790.6597385,0.9197,401.923065,276.15,57.5,5.0,142.8125
2000-05-15,0.901786,2.803125,34.743202,0.5713,792.3904991,0.9112,415.384613,275.45,59.0625,4.995,145.28125
2000-05-16,0.943638,2.953125,34.507175,0.5767,794.2341174,0.9003,417.307678,275.65,60.9375,5.085,146.6875
2000-05-17,0.905134,3.05,34.223942,0.5688,793.0735265,0.8959,412.5,273.35,61.59375,4.98,145.15625
2000-05-18,0.899554,2.76875,33.421452,0.5714,790.2416279,0.8946,408.653839,273.35,61.96875,5.0,143.375
2000-05-19,0.839286,2.63125,32.241314,0.5742,791.6786791,0.8975,399.038452,274.25,58.9375,5.0,141.125
2000-05-22,0.803013,2.59375,32.099697,0.5716,794.9375205,0.9031,384.615387,275.65,59.1875,4.975,140.0625
2000-05-23,0.766183,2.334375,31.580439,0.5745,794.4382348,0.9071,384.615387,274.25,54.9375,5.005,138.0
2000-05-24,0.782924,2.428125,32.571751,0.571,794.2316784,0.9044,390.384613,273.55,58.6875,4.985,140.25
2000-05-25,0.779157,2.275,31.76926,0.5685,797.5170444,0.9115,390.384613,270.3,57.59375,4.91,137.84375
2000-05-26,0.771205,2.325,32.194111,0.5736,799.7729231,0.9309,381.25,272.25,58.78125,4.925,138.0
2000-05-30,0.781808,2.5875,33.421452,0.5752,798.1598611,0.9301,394.230774,273.2,62.875,4.935,142.5
2000-05-31,0.75,2.415625,32.996601,0.5725,801.2073957,0.938,404.807678,272.1,62.34375,4.92,142.8125
2000-06-01,0.795759,2.509375,33.232628,0.5721,805.2821618,0.9312,402.884613,272.8,64.84375,4.895,145.3125
2000-06-02,0.826451,2.89375,33.987915,0.5798,808.6673091,0.9463,405.769226,281.15,67.09375,4.935,147.84375
2000-06-05,0.81529,2.725,33.468655,0.582,811.2971228,0.9479,396.634613,285.45,66.28125,5.025,147.125
2000-06-06,0.829241,2.528125,34.223942,0.5887,811.2014309,0.9548,393.75,289.0,64.78125,5.075,146.46875
2000-06-07,0.862165,2.590625,35.026436,0.5937,811.0963231,0.9622,395.192322,286.7,64.46875,5.07,147.484375
2000-06-08,0.84654,2.59375,35.498489,0.5887,810.8592713,0.956,391.346161,284.45,63.09375,5.06,146.90625
2000-06-09,0.854911,2.609375,36.348186,0.5881,810.603422,0.9536,383.653839,283.85,63.53125,5.03,146.59375
2000-06-12,0.814174,2.421875,35.356873,0.5918,812.3075848,0.9538,383.653839,286.8,62.53125,5.01,144.875
2000-06-13,0.84375,2.45,36.253777,0.5963,812.211737,0.9596,393.75,285.75,65.75,5.0,147.59375
2000-06-14,0.807478,2.321875,37.764351,0.5995,814.4144301,0.9579,392.307678,291.75,63.21875,5.06,147.84375
2000-06-15,0.824777,2.315625,36.773037,0.6028,814.0733888,0.9547,399.038452,289.85,64.125,5.065,148.15625
2000-06-16,0.814174,2.3,35.687309,0.6063,816.9061402,0.965,393.269226,289.25,63.03125,5.055,146.59375
2000-06-19,0.862723,2.265625,35.876133,0.6011,816.1034163,0.9567,386.538452,286.25,68.25,5.02,148.46875
2000-06-20,0.904018,2.30625,35.640106,0.6028,814.9807966,0.9548,392.307678,286.15,69.15625,5.01,147.9375
2000-06-21,0.993304,2.303125,36.348186,0.6023,811.7969087,0.9442,380.288452,286.15,69.5,4.96,147.875
2000-06-22,0.959821,2.1,37.103474,0.5966,810.7316549,0.9355,375.0,285.65,67.03125,4.965,145.625
2000-06-23,0.922991,1.69375,36.678623,0.5946,808.7067741,0.9359,383.653839,283.15,67.1875,4.955,144.375
2000-06-26,0.966518,1.696875,35.781723,0.5971,811.5471966,0.9369,384.134613,284.0,67.09375,4.97,146.234375
2000-06-27,0.924107,1.825,35.168053,0.6015,812.0817817,0.9459,378.846161,286.05,65.6875,4.955,145.15625
2000-06-28,0.972098,1.89375,33.928909,0.6022,811.3462664,0.9401,388.822113,292.65,66.1875,4.98,145.5625
2000-06-29,0.915179,1.85625,34.412766,0.6008,814.3919878,0.952,382.692322,289.25,65.875,5.0,144.1875
2000-06-30,0.935268,1.815625,33.232628,0.5974,815.3396837,0.9525,407.692322,289.53,66.84375,5.03,145.28125
2000-07-03,0.952009,1.85,35.168053,0.5983,817.1991798,0.9502,400.0,288.35,68.4375,5.0,147.28125
2000-07-05,0.921875,1.825,34.554382,0.5895,818.4846369,0.9525,384.134613,284.25,65.8125,4.98,144.625
2000-07-06,0.925223,1.803125,32.949394,0.59,816.5360204,0.9507,386.057678,283.65,68.3125,4.995,145.75
2000-07-07,0.972098,1.80625,33.751888,0.5919,818.5636924,0.9484,394.711548,283.65,69.65625,4.975,148.09375
2000-07-10,1.020089,1.753125,33.846298,0.5927,818.1755872,0.9553,403.365387,283.95,68.90625,4.985,147.84375
2000-07-11,1.016741,1.65625,33.515862,0.5877,818.0130863,0.9527,401.923065,282.55,69.40625,4.955,148.15625
2000-07-12,1.051339,1.753125,33.940708,0.5888,817.5311861,0.9424,413.461548,280.6,70.59375,4.965,149.125
2000-07-13,1.008929,1.75,34.554382,0.5848,820.487478,0.9372,403.846161,280.25,71.59375,4.97,149.78125
2000-07-14,1.030134,2.13125,34.271149,0.5844,816.8495145,0.9385,396.153839,281.3,73.34375,5.0,151.25
2000-07-17,1.041295,2.05625,32.689766,0.5878,814.743293,0.9366,412.980774,283.6,73.15625,5.01,151.0
2000-07-18,1.022321,2.0875,32.854984,0.5814,814.6376478,0.9248,401.923065,282.65,71.5,5.015,149.765625
2000-07-19,0.940848,2.04375,32.949394,0.5766,814.3536379,0.9246,405.769226,279.15,69.0625,4.97,148.5625
2000-07-20,0.984375,2.015625,32.571751,0.5838,820.2745057,0.9331,417.788452,280.25,71.34375,4.98,150.625
2000-07-21,0.956473,2.05625,32.477341,0.5856,820.8156879,0.9369,416.346161,280.35,69.09375,4.925,147.6875
2000-07-24,0.86942,1.9375,32.618958,0.5856,819.742591,0.9337,415.384613,279.25,69.0,4.94,146.84375
2000-07-25,0.893973,1.88125,33.232628,0.5854,820.1992155,0.9385,412.019226,279.05,70.4375,4.925,147.3125
2000-07-26,0.893973,1.803125,32.571751,0.5911,820.0834104,0.9428,400.961548,279.75,69.5,4.945,145.875
2000-07-27,0.928571,1.56875,32.335724,0.5883,821.2527344,0.9317,403.846161,278.5,68.5,4.96,145.375
2000-07-28,0.862723,1.5,32.099697,0.588,820.1144628,0.923,391.826935,278.38,64.5625,4.95,142.09375
2000-07-31,0.907366,1.50625,32.146904,0.5808,820.4206678,0.9266,397.596161,277.25,66.75,4.99,143.0
2000-08-01,0.88058,1.5125,32.996601,0.5796,821.8144339,0.9147,405.769226,277.35,64.625,4.985,143.875
2000-08-02,0.84375,1.540625,33.468655,0.5842,822.6640348,0.9136,400.0,277.55,63.3125,4.98,144.59375
2000-08-03,0.857143,1.575,33.232628,0.5858,823.6821072,0.9061,406.730774,273.95,65.0625,4.955,145.59375
2000-08-04,0.845982,1.625,33.185425,0.5866,825.7308443,0.9083,410.576935,273.5,62.5625,4.92,146.375
2000-08-07,0.856027,1.690625,33.515862,0.587,824.9020532,0.9071,404.807678,273.75,62.9375,4.93,148.125
2000-08-08,0.834821,1.646875,32.099697,0.5836,826.4721472,0.9022,413.461548,273.25,61.625,4.9,148.6875
2000-08-09,0.848214,1.54375,31.486027,0.5793,826.9363016,0.9006,430.288452,272.25,63.5625,4.885,147.4375
2000-08-10,0.84933,1.521875,31.958082,0.5828,828.7117095,0.9083,438.461548,272.75,62.0,4.89,146.71875
2000-08-11,0.851563,1.684375,32.146904,0.5783,826.6278788,0.9026,435.096161,275.15,63.8125,4.915,147.40625
2000-08-14,0.840402,1.74375,31.627644,0.5827,827.4007939,0.9056,438.461548,274.8,66.9375,4.87,149.28125
2000-08-15,0.833705,1.878125,31.722054,0.5827,826.5630069,0.9135,440.384613,274.65,67.875,4.86,149.15625
2000-08-16,0.866071,1.93125,31.202795,0.5914,825.659907,0.9161,437.019226,277.2,68.0625,4.85,148.625
2000-08-17,0.918527,1.9125,29.833838,0.5927,826.0207184,0.9162,436.057678,277.65,70.0625,4.86,150.1875
2000-08-18,0.892857,1.95,29.692221,0.5908,827.0271973,0.9064,432.211548,276.65,70.5625,4.835,149.6875
2000-08-21,0.901786,1.875,30.258686,0.5878,826.6577649,0.9017,435.096161,275.25,72.0625,4.85,150.5
2000-08-22,0.922991,1.825,29.928247,0.5797,827.1305121,0.8964,432.692322,273.75,72.125,4.83,150.25
2000-08-23,0.969866,1.940625,30.353098,0.5718,829.1280155,0.9017,445.673065,271.25,74.625,4.78,150.84375
2000-08-24,1.001953,1.96875,30.589125,0.5728,829.6844328,0.9021,453.365387,272.95,74.25,4.84,151.3125
2000-08-25,1.014509,1.996875,31.108383,0.5743,829.5485832,0.9021,455.769226,274.25,72.9375,4.865,151.25
